secondary_threshold,test_index,best_persistence,predicted_under_risk,primary_safe_set,primary_safe_set_size,selected_lambda,selected_action,selected_regret,true_minimum_set,responsive_oracle_lambda,selected_in_true_minimum_set,responsive_oracle_match,safety_score_0.00,safety_score_0.10,safety_score_0.25,safety_score_1.00
0.9,4,1,0.02638256442498864,1.00,1,1.0,1,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.22482653061224483,0.2812267573696143,0.24433333333333337,0.8906700680272112
0.9,5,2,0.027565087328314322,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.30361564625850335,0.2784659863945577,0.27257142857142863,0.9983809523809524
0.9,6,2,0.03441937398111071,1.00,1,1.0,3,0.0,0.10|0.25|1.00,0.1,1,0,0.8903333333333333,0.909108843537415,0.980404761904762,0.9347891156462588
0.9,7,2,0.03425887702294003,0.25|1.00,2,0.25,3,0.0,0.10|0.25|1.00,0.1,1,0,0.8568333333333333,0.8868231292517005,0.9948809523809523,0.9210986394557827
0.9,8,1,0.0460522615338116,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7896428571428573,0.9037142857142856,0.9454761904761904,0.9448809523809524
0.9,9,1,0.042567450027431425,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7878571428571428,0.9974285714285714,0.9969047619047618,0.9448809523809524
0.9,10,1,0.030993522774128465,0.00|0.10|0.25|1.00,4,0.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9979761904761906,1.0,1.0,0.9448809523809524
0.9,11,1,0.037248184346602375,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9672142857142855,0.9806428571428573,0.9959523809523809,0.9448809523809524
0.9,12,1,0.03664991528924929,0.10|0.25|1.00,3,0.1,2,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9854761904761904,0.9985714285714286,0.9942857142857143,1.0
0.9,13,1,0.018872985450852996,0.00|0.10|0.25|1.00,4,0.0,1,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9990476190476191,1.0,1.0,1.0
0.9,14,1,0.02476059077747911,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9978571428571429,0.9990476190476191,1.0,1.0
0.9,15,1,0.03670569933458623,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7500680272108838,0.8143469387755101,0.9732380952380953,0.9347891156462588
0.9,16,1,0.03144023959720714,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.5293775510204082,0.5330952380952381,0.4887142857142855,0.9432619047619047
0.9,17,1,0.04538115275370475,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9489761904761903,0.9601428571428573,0.9586190476190477,0.9448809523809524
0.9,18,2,0.027912106784189476,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.5909999999999999,0.9252301587301588,0.8881428571428572,1.0
0.9,19,2,0.01849410688953061,0.10|0.25|1.00,3,0.1,1,0.09518820021482474,0.25|1.00,0.25,0,0,0.9983333333333334,1.0,1.0,1.0
0.9,20,2,0.040866210078494974,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9895238095238096,0.9926190476190476,0.9954761904761905,1.0
0.9,21,2,0.04299907391748921,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9542142857142856,0.9639523809523812,0.9593333333333335,0.9448809523809524
0.9,22,2,0.03670897179644808,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9475476190476189,0.9639523809523812,0.9593333333333335,0.9448809523809524
0.9,23,2,0.029217456164213465,0.25,1,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.8914761904761904,0.8882517006802719,0.9953571428571428,0.7521938775510196
0.9,24,1,0.04592788430002088,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9273809523809523,0.9952857142857143,0.9904761904761905,1.0
0.9,25,1,0.022694503764401536,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9995238095238096,1.0,1.0,1.0
0.9,26,1,0.023856148773027813,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.9992857142857143,1.0,1.0,1.0
0.9,27,1,0.035066168873382424,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9672142857142855,0.9806428571428573,0.9959523809523809,1.0
0.9,28,1,0.04750235102302107,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.4312176870748298,0.6825294784580499,0.7570476190476189,1.0
0.9,29,1,0.023237868677336185,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.9,30,1,0.023780873381575078,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.78921768707483,0.7815238095238096,0.9261904761904762,1.0
0.9,31,1,0.019701317976916273,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,0.9992857142857143,0.996904761904762
0.9,32,3,0.041186146798371175,0.25|1.00,2,0.25,3,0.0,0.25|1.00,0.25,1,1,0.9785714285714285,0.9819047619047618,0.9989285714285714,0.9983333333333334
0.9,33,3,0.0332631374973132,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.6633129251700681,0.6351190476190476,0.7269285714285715,1.0
0.9,34,2,0.042777572975419474,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.24328911564625844,0.30979138321995453,0.27699999999999997,0.9967142857142857
0.9,35,2,0.03567679074560212,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9928571428571429,0.9971428571428571,1.0,1.0
0.9,36,2,0.0361148293602659,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9333809523809521,0.9610952380952384,0.9586190476190477,1.0
0.9,37,2,0.03646748878062584,0.25|1.00,2,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9826190476190477,0.9842857142857143,0.9982142857142857,0.9801190476190479
0.9,38,2,0.02468004002788759,0.00|0.10|0.25|1.00,4,0.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.9,39,2,0.03118213995305355,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,0.996904761904762,1.0,0.9990476190476191,1.0
0.9,40,2,0.034663160168209146,0.25,1,0.25,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.981904761904762,0.9842857142857143,0.9982142857142857,0.8435238095238095
0.9,41,3,0.020797499966750708,1.00,1,1.0,1,0.007375586548430901,0.00|0.10|0.25|1.00,0.0,1,0,0.4821190476190477,0.4890022675736962,0.48221428571428565,0.8630476190476187
0.9,42,3,0.026822066442761982,1.00,1,1.0,1,0.03091974117703608,0.00|0.10|0.25|1.00,0.0,1,0,0.29802721088435363,0.3955340136054422,0.3745476190476189,0.9358571428571427
0.9,43,2,0.03951930612254934,1.00,1,1.0,3,0.006871910725323005,1.00,1.0,1,1,0.3348367346938774,0.5589897959183674,0.6764761904761903,0.9976190476190476
0.9,44,1,0.024436690988507717,1.00,1,1.0,3,0.006622848127195047,0.00|0.10|0.25,0.0,0,0,0.2389557823129251,0.2826666666666666,0.27164285714285713,0.862333333333333
0.9,45,1,0.021222086183046187,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.4871122448979591,0.8431009070294785,0.800142857142857,1.0
0.9,46,1,0.01365850721967068,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.5039761904761904,0.8541326530612244,0.9451904761904764,0.9347891156462588
0.9,47,1,0.01259623508265569,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.9,48,1,0.009318752027240971,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.8490680272108843,0.8906190476190478,0.9760952380952382,1.0
0.9,49,1,0.028818895238164565,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.8178571428571428,0.8102380952380955,0.9559523809523811,1.0
0.9,50,1,0.023520217346594405,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9776666666666667,0.9763333333333336,0.975404761904762,1.0
0.9,51,1,0.02958356952205886,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.639238095238095,0.6653809523809522,0.9549047619047618,1.0
0.9,52,1,0.03759264192945932,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.4806122448979594,0.5418061224489797,0.5378333333333333,1.0
0.9,53,1,0.024715343027548062,0.25|1.00,2,0.25,1,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.7856428571428571,0.7589183673469387,0.9985714285714286,0.9871428571428574
0.9,54,1,0.024536543970978028,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.9,55,1,0.04103390877169623,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9675000000000001,1.0,0.9988095238095237,1.0
0.9,56,3,0.03274480707504506,1.00,1,1.0,3,0.0,0.25|1.00,0.25,1,0,0.6011836734693877,0.795843537414966,0.9175238095238099,0.8371700680272112
0.9,57,3,0.03312817728570933,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.8336938775510205,0.8217585034013606,0.9017857142857143,0.8226428571428566
0.9,58,2,0.03188031448587982,1.00,1,1.0,3,0.0,0.10|0.25|1.00,0.1,1,0,0.4121598639455781,0.7610510204081632,0.8246190476190477,0.9347891156462588
0.9,59,1,0.02450722746566402,0.10|0.25|1.00,3,0.1,2,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9879761904761903,1.0,1.0,1.0
0.9,60,1,0.025880579595396618,1.00,1,1.0,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.6093367346938775,0.5698095238095238,0.6557380952380953,1.0
0.9,61,1,0.013577055933409007,0.10|0.25|1.00,3,0.1,3,0.0,0.00|0.10|0.25|1.00,0.0,1,0,0.9933333333333332,0.9912142857142859,0.9995238095238095,1.0
0.9,62,3,0.05077392905885838,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.7190238095238094,0.9228253968253967,0.8965952380952379,0.9425000000000001
0.9,63,3,0.03441037613827375,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.7559319727891157,0.714357142857143,0.7097857142857145,0.9415476190476191
0.9,64,2,0.028331236741233785,1.00,1,1.0,3,0.0,0.25|1.00,0.25,1,0,0.9826190476190475,0.9791666666666667,0.9966666666666668,1.0
0.9,65,2,0.02666612018666824,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.9,66,2,0.024864527996219323,0.25,1,0.25,1,0.03138122831986774,1.00,1.0,0,0,0.8166224489795919,0.7774251700680271,0.9967857142857143,0.8253095238095235
0.9,67,3,0.03559728941070486,1.00,1,1.0,3,0.0,0.25|1.00,0.25,1,0,0.9150476190476189,0.9430000000000002,0.9552857142857144,0.9448809523809524
0.9,68,3,0.02766769465236672,1.00,1,1.0,1,0.057717810433482175,0.00|0.10|0.25|1.00,0.0,1,0,0.40356122448979576,0.4577857142857143,0.4362619047619046,0.8643605442176875
0.9,69,2,0.03267914010910429,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.865265306122449,0.8560918367346937,0.946809523809524,0.9221428571428575
0.9,70,2,0.02537222256577211,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.805595238095238,0.798809523809524,0.9611904761904763,1.0
0.9,71,2,0.0203037311797933,0.00|0.10|0.25|1.00,4,0.0,2,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,1.0,1.0
0.9,72,2,0.031056467919537645,1.00,1,1.0,3,0.0,1.00,1.0,1,1,0.5723605442176868,0.572656462585034,0.8247619047619048,0.982261904761905
0.9,73,1,0.012339921780130157,0.00|0.10|0.25,3,0.0,1,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,0.9992857142857143,0.8953809523809524
0.9,74,1,0.01009082743405334,0.00|0.10|0.25,3,0.0,1,0.0,0.00|0.10|0.25|1.00,0.0,1,1,1.0,1.0,0.9992857142857143,0.8953809523809524
